"category","crops","country","value"
"fruits","mangosteen","Burkina Faso",0
"fruits","mangosteen","Burundi",0
"fruits","mangosteen","Cabo Verde",0
"fruits","mangosteen","Cambodia",1
"fruits","mangosteen","Cameroon",4
"fruits","mangosteen","Canada",3
"fruits","mangosteen","Cayman Islands",0
"fruits","mangosteen","Central African Republic",0
"fruits","mangosteen","Chad",0
"fruits","mangosteen","Chile",1
"fruits","mangosteen","China",19
"fruits","mangosteen","Christmas Island",0
"fruits","mangosteen","Cocos Islands",0
"fruits","mangosteen","Colombia",3
"fruits","mangosteen","Comoros",0
"fruits","mangosteen","Congo",0
"fruits","mangosteen","Congo, Dem. Rep.",1
"fruits","mangosteen","Congo, Rep.",1
"fruits","mangosteen","Cook Islands",0
"fruits","mangosteen","Costa Rica",0
"fruits","mangosteen","Croatia",0
"fruits","mangosteen","Cuba",2
"fruits","mangosteen","Curaçao",0
"fruits","mangosteen","Cyprus",0
"fruits","mangosteen","Czechia",0
"fruits","mangosteen","Côte d’Ivoire",1
"fruits","mangosteen","Denmark",0
"fruits","mangosteen","Djibouti",0
"fruits","mangosteen","Dominica",0
"fruits","mangosteen","Dominican Republic",1
"fruits","mangosteen","Ecuador",1
"fruits","mangosteen","Egypt, Arab Rep.",1
"fruits","mangosteen","El Salvador",0
"fruits","mangosteen","Equatorial Guinea",0
"fruits","mangosteen","Eritrea",0
"fruits","mangosteen","Estonia",0
"fruits","mangosteen","Eswatini",0
"fruits","mangosteen","Ethiopia",0
"fruits","mangosteen","Falkland Islands",0
"fruits","mangosteen","Faroe Islands",0
"fruits","mangosteen","Fiji",2
"fruits","mangosteen","Finland",0
"fruits","mangosteen","France",3
"fruits","mangosteen","French Guiana",0
"fruits","mangosteen","French Polynesia",0
"fruits","mangosteen","Gabon",0
"fruits","mangosteen","Gambia, The",0
"fruits","mangosteen","Georgia",1
"fruits","mangosteen","Germany",6
"fruits","mangosteen","Ghana",1
"fruits","mangosteen","Gibraltar",0
"fruits","mangosteen","Greece",0
"fruits","mangosteen","Greenland",0
"fruits","mangosteen","Grenada",0
"fruits","mangosteen","Guadeloupe",0
"fruits","mangosteen","Guam",0
"fruits","mangosteen","Guatemala",0
"fruits","mangosteen","Guernsey",0
"fruits","mangosteen","Guinea",1
"fruits","mangosteen","Guinea-Bissau",0
"fruits","mangosteen","Guyana",0
"fruits","mangosteen","Haiti",2
"fruits","mangosteen","Holy See",0
"fruits","mangosteen","Honduras",1
"fruits","mangosteen","Hong Kong SAR, China",0
"fruits","mangosteen","Hungary",0
"fruits","mangosteen","Iceland",0
"fruits","mangosteen","India",34
"fruits","mangosteen","Indonesia",105
"fruits","mangosteen","Iran, Islamic Rep.",2
"fruits","mangosteen","Iraq",0
"fruits","mangosteen","Ireland",0
"fruits","mangosteen","Isle of Man",0
"fruits","mangosteen","Israel",2
"fruits","mangosteen","Italy",6
"fruits","mangosteen","Jamaica",0
"fruits","mangosteen","Japan",5
"fruits","mangosteen","Jersey",0
"fruits","mangosteen","Jordan",0
"fruits","mangosteen","Kazakhstan",0
"fruits","mangosteen","Kenya",0
"fruits","mangosteen","Kiribati",0
"fruits","mangosteen","Korea, Rep.",0
"fruits","mangosteen","Kosovo",0
"fruits","mangosteen","Kuwait",0
